  lambda: 2.22992
      wr: 0.5
                rho:            eigvec: 
                0.05      0.005884635792
                 0.1        0.0120307069
                0.15       0.01841055209
                 0.2       0.02499486356
                0.25       0.03175289434
                 0.3       0.03865267837
                0.35       0.04566126131
                 0.4       0.05274493966
                0.45       0.05986950589
                 0.5       0.06700049719
                0.55       0.07410344543
                 0.6       0.08114412581
                0.65       0.08808880187
                 0.7        0.0949044645
                0.75        0.1015590627
                 0.8        0.1080217241
                0.85        0.1142629625
                 0.9        0.1202548721
                0.95        0.1259713052
                   1        0.1313880326
                1.05        0.1364828856
                 1.1        0.1412358783
                1.15        0.1456293095
                 1.2        0.1496478436
                1.25        0.1532785703
                 1.3        0.1565110428
                1.35        0.1593372952
                 1.4        0.1617518382
                1.45        0.1637516356
                 1.5        0.1653360606
                1.55        0.1665068342
                 1.6        0.1672679452
                1.65        0.1676255558
                 1.7         0.167587891
                1.75        0.1671651155
                 1.8        0.1663691997
                1.85        0.1652137749
                 1.9        0.1637139808
                1.95        0.1618863068
                   2        0.1597484284
                2.05        0.1573190412
                 2.1        0.1546176925
                2.15        0.1516646148
                 2.2        0.1484805599
                2.25        0.1450866372
                 2.3        0.1415041561
                2.35        0.1377544746
                 2.4         0.133858855
                2.45        0.1298383272
                 2.5        0.1257135613
                2.55        0.1215047497
                 2.6        0.1172314986
                2.65         0.112912731
                 2.7        0.1085665999
                2.75         0.104210413
                 2.8       0.09986056766
                2.85       0.09553249761
                 2.9       0.09124063012
                2.95       0.08699835365
                   3       0.08281799565
                3.05       0.07871081011
                 3.1       0.07468697416
                3.15       0.07075559335
                 3.2       0.06692471471
                3.25       0.06320134728
                 3.3       0.05959148905
                3.35       0.05610015982
                 3.4       0.05273143924
                3.45       0.04948850919
                 3.5       0.04637369995
                3.55       0.04338853932
                 3.6       0.04053380411
                3.65       0.03780957334
                 3.7       0.03521528249
                3.75       0.03274977837
                 3.8       0.03041137381
                3.85       0.02819790205
                 3.9       0.02610677009
                3.95       0.02413501069
                   4       0.02227933282
                4.05       0.02053617004
                 4.1        0.0189017267
                4.15       0.01737202172
                 4.2       0.01594292979
                4.25       0.01461021986
                 4.3        0.0133695908
                4.35        0.0122167043
                 4.4       0.01114721483
                4.45       0.01015679682
                 4.5      0.009241168981
                4.55      0.008396116005
                 4.6      0.007617507482
                4.65      0.006901314364
                 4.7      0.006243622976
                4.75      0.005640646735
                 4.8       0.00508873571
                4.85      0.004584384178
                 4.9      0.004124236316
                4.95      0.003705090185
                   5      0.003323900158
                5.05      0.002977777942
                 5.1      0.002663992346
                5.15      0.002379967929
                 5.2      0.002123282678
                5.25      0.001891664838
                 5.3      0.001682989019
                5.35      0.001495271712
                 5.4      0.001326666298
                5.45      0.001175457676
                 5.5      0.001040056582
                5.55     0.0009189937044
                 5.6      0.000810913646
                5.65     0.0007145688286
                 5.7     0.0006288133786
                5.75     0.0005525970567
                 5.8     0.0004849592764
                5.85     0.0004250232481
                 5.9     0.0003719902829
                5.95     0.0003251342829
                   6     0.0002837964393
                6.05     0.0002473801557
                 6.1     0.0002153462081
                6.15     0.0001872081502
                 6.2     0.0001625279705
                6.25     0.0001409119997
                 6.3     0.0001220070719
                6.35     0.0001054969325
                 6.4     9.109889061e-05
                6.45     7.856070764e-05
                 6.5     6.765771551e-05
                6.55     5.819015386e-05
                 6.6     4.998071809e-05
                6.65     4.287230696e-05
                 6.7     3.672595912e-05
                6.75     3.141896778e-05
                 6.8     2.684316283e-05
                6.85     2.290334884e-05
                 6.9     1.951588868e-05
                6.95     1.660742206e-05
                   7     1.411370872e-05
                7.05      1.19785872e-05
                 7.1     1.015303881e-05
                7.15     8.594348438e-06
                 7.2     7.265354143e-06
                7.25     6.133777109e-06
                 7.3     5.171624672e-06
                7.35     4.354660042e-06
                 7.4     3.661931234e-06
                7.45     3.075354601e-06
                 7.5       2.5793467e-06
                7.55     2.160499413e-06
                 7.6     1.807294324e-06
                7.65     1.509851816e-06
                 7.7     1.259710825e-06
                7.75     1.049636358e-06
                 7.8     8.734512861e-07
                7.85     7.258898415e-07
                 7.9     6.024698872e-07
                7.95      4.99381988e-07
                   8     4.133934891e-07
                8.05     3.417652917e-07
                 8.1     2.821800197e-07
                8.15     2.326798852e-07
                 8.2      1.91613432e-07
                8.25     1.575897447e-07
                 8.3     1.294390113e-07
                8.35     1.061787979e-07
                 8.4     8.698540017e-08
                8.45     7.116899916e-08
                 8.5     5.815292664e-08
                8.55     4.745575484e-08
                 8.6     3.867611243e-08
                8.65     3.147994257e-08
                 8.7      2.55895441e-08
                8.75     2.077439741e-08
                 8.8     1.684346077e-08
                8.85     1.363866833e-08
                 8.9     1.102938839e-08
                8.95     8.907746763e-09
                   9     7.184822668e-09
                9.05     5.787561374e-09
                 9.1     4.655864402e-09
                9.15     3.740461516e-09
                 9.2      3.00087418e-09
                9.25      2.40404299e-09
                 9.3     1.923035646e-09
                9.35     1.535749682e-09
                 9.4     1.224212131e-09
                9.45     9.738207793e-10
                 9.5     7.725847554e-10
                9.55     6.108648559e-10
                 9.6     4.808055979e-10
                9.65     3.758757095e-10
                 9.7     2.909019402e-10
                9.75     2.215164938e-10
                 9.8      1.64077788e-10
                9.85     1.156564704e-10
                 9.9     7.370822669e-11
                9.95     3.585624773e-11
