  lambda: 4.05767
      wr: 1
                rho:            eigvec: 
               0.025      0.004063591423
                0.05      0.008218468768
               0.075        0.0124552474
                 0.1       0.01676427649
               0.125       0.02113567211
                0.15       0.02555935148
               0.175        0.0300250679
                 0.2       0.03452244648
               0.225       0.03904102027
                0.25       0.04357026684
               0.275       0.04809964487
                 0.3       0.05261863086
               0.325       0.05711675556
                0.35       0.06158364011
               0.375       0.06600903154
                 0.4       0.07038283771
               0.425       0.07469516129
                0.45       0.07893633277
               0.475       0.08309694231
                 0.5        0.0871678703
               0.525       0.09114031645
                0.55       0.09500582735
               0.575       0.09875632239
                 0.6        0.1023841178
               0.625        0.1058819491
                0.65        0.1092429909
               0.675        0.1124608759
                 0.7        0.1155297105
               0.725         0.118444089
                0.75        0.1211991056
               0.775        0.1237903642
                 0.8        0.1262139854
               0.825        0.1284666126
                0.85        0.1305454143
               0.875        0.1324480856
                 0.9        0.1341728468
               0.925        0.1357184402
                0.95        0.1370841248
               0.975        0.1382696687
                   1        0.1392753405
               1.025        0.1401018979
                1.05        0.1407505752
               1.075        0.1412230687
                 1.1        0.1415215211
               1.125        0.1416485041
                1.15        0.1416069999
               1.175        0.1414003814
                 1.2        0.1410323911
               1.225        0.1405071197
                1.25        0.1398289836
               1.275        0.1390027011
                 1.3         0.138033269
               1.325        0.1369259381
                1.35        0.1356861886
               1.375        0.1343197055
                 1.4        0.1328323536
               1.425        0.1312301526
                1.45        0.1295192527
               1.475        0.1277059097
                 1.5        0.1257964615
               1.525        0.1237973043
                1.55        0.1217148694
               1.575        0.1195556012
                 1.6        0.1173259352
               1.625        0.1150322772
                1.65        0.1126809835
               1.675        0.1102783417
                 1.7        0.1078305525
               1.725        0.1053437126
                1.75        0.1028237989
               1.775        0.1002766534
                 1.8       0.09770796931
               1.825       0.09512327837
                1.85       0.09252793945
               1.875       0.08992712797
                 1.9       0.08732582672
               1.925       0.08472881773
                1.95       0.08214067524
               1.975       0.07956575987
                   2        0.0770082138
               2.025       0.07447195702
                2.05       0.07196068463
               2.075       0.06947786517
                 2.1       0.06702673978
               2.125       0.06461032244
                2.15       0.06223140093
               2.175        0.0598925387
                 2.2       0.05759607749
               2.225       0.05534414069
                2.25        0.0531386373
               2.275       0.05098126663
                 2.3       0.04887352345
               2.325       0.04681670374
                2.35       0.04481191086
               2.375       0.04286006211
                 2.4       0.04096189573
               2.425       0.03911797812
                2.45       0.03732871135
               2.475        0.0355943409
                 2.5       0.03391496356
               2.525        0.0322905354
                2.55        0.0307208799
               2.575       0.02920569607
                 2.6       0.02774456655
               2.625       0.02633696571
                2.65       0.02498226768
               2.675       0.02367975428
                 2.7       0.02242862275
               2.725       0.02122799344
                2.75       0.02007691724
               2.775        0.0189743828
                 2.8       0.01791932361
               2.825       0.01691062474
                2.85        0.0159471294
               2.875       0.01502764519
                 2.9       0.01415095013
               2.925       0.01331579832
                2.95       0.01252092541
               2.975        0.0117650537
                   3       0.01104689698
               3.025       0.01036516506
                3.05       0.00971856802
               3.075      0.009105820119
                 3.1      0.008525643487
               3.125      0.007976771462
                3.15      0.007457951689
               3.175      0.006967948918
                 3.2      0.006505547557
               3.225      0.006069553953
                3.25      0.005658798427
               3.275      0.005272137074
                 3.3      0.004908453329
               3.325      0.004566659317
                3.35       0.00424569699
               3.375      0.003944539075
                 3.4       0.00366218983
               3.425      0.003397685623
                3.45      0.003150095358
               3.475      0.002918520734
                 3.5      0.002702096375
               3.525      0.002499989819
                3.55      0.002311401397
               3.575      0.002135563991
                 3.6        0.0019717427
               3.625      0.001819234413
                3.65      0.001677367299
               3.675       0.00154550023
                 3.7      0.001423022134
               3.725      0.001309351299
                3.75      0.001203934621
               3.775      0.001106246823
                 3.8      0.001015789629
               3.825     0.0009320909195
                3.85     0.0008547038577
               3.875     0.0007832060088
                 3.9     0.0007171984424
               3.925     0.0006563048318
                3.95     0.0006001705508
               3.975     0.0005484617745
                   4     0.0005008645847
               4.025     0.0004570840857
                4.05     0.0004168435314
               4.075     0.0003798834683
                 4.1     0.0003459608944
               4.125     0.0003148484376
                4.15     0.0002863335546
               4.175     0.0002602177515
                 4.2      0.000236315828
               4.225      0.000214455145
                4.25     0.0001944749171
               4.275     0.0001762255307
                 4.3     0.0001595678873
               4.325     0.0001443727718
                4.35      0.000130520248
               4.375     0.0001178990776
                 4.4     0.0001064061664
               4.425     9.594603342e-05
                4.45     8.643030572e-05
               4.475     7.777723602e-05
                 4.5     6.991124358e-05
               4.525     6.276247714e-05
                4.55     5.626639916e-05
               4.575      5.03633904e-05
                 4.6     4.499837383e-05
               4.625     4.012045674e-05
                4.65     3.568259006e-05
               4.675     3.164124352e-05
                 4.7     2.795609544e-05
               4.725     2.458973585e-05
                4.75     2.150738147e-05
               4.775     1.867660099e-05
                 4.8     1.606704924e-05
               4.825      1.36502083e-05
                4.85     1.139913385e-05
               4.875     9.288204732e-06
                 4.9     7.292873597e-06
               4.925     5.389416303e-06
                4.95     3.554677434e-06
               4.975     1.765809112e-06
