masses: 10e24 kg
positions: au
velocities: au/yr
values from: nasa.gov at time 2458395.500000000 = A.D. 2018-Oct-04 00:00:00.0000 TDB
perspective: origo at mass center

Name     mass     x                       y  z  vx  vy                      vz
Sun      1988500  -7.175013564692218E-05  7.222562851350428E-03   -7.457381690003485E-05  -7.559933970129715E-06  2.681945562288024E-06   1.889002113326395E-07
Mercury  0.3302   -3.294363957786441E-01  -2.928799526088138E-01  5.618346324205380E-03   1.320405892727915E-02   -1.952252048338632E-02  -2.807294373094382E-03
Venus    4.8685   7.243545955158947E-01   -3.278712379892032E-02  -4.242728890559555E-02  1.017391327967621E-03   2.010584861519629E-02   2.168289888508737E-04
Earth    5.97219  9.837576984919719E-01   1.889233809711713E-01   -8.631011464030984E-05  -3.406523137555859E-03  1.686035619678342E-02   -1.194254105980157E-06
Mars     0.64171  1.349004548617385E+00   -2.975589233646888E-01  -3.956440841859040E-02  3.610034965148588E-03   1.484808760059448E-02   2.224945616221949E-04
Jupiter  1898.13  -2.724865762194714E+00  -4.624789318060123E+00  8.013249787610907E-02   6.411862928919486E-03   -3.471082490961821E-03  -1.290147901227175E-04
Saturn   568.34   1.497082568921199E+00   -9.943470921581483E+00  1.132983557425057E-01   5.209583578051823E-03   8.120803848912152E-04   -2.211308505468577E-04
Uranus   86.813   1.719595695177778E+01   9.965486713193039E+00   -1.857636424997038E-01  -2.000761535443054E-03  3.219594226509228E-03   3.795711294500967E-05
Neptune  102.413  2.891239407445751E+01   -7.753050308782163E+00  -5.066556247342422E-01  7.926104454699854E-04   3.050689379330089E-03   -8.139915196891708E-05
Pluto    0.01307  1.161374129179143E+01   -3.157937303069106E+01  1.979427629835602E-02   3.006977217402132E-03   4.205759240708480E-04   -9.057561756443009E-04
