Sun
                 x:                  y:                  z:                  t: 
      -0.02620673705         2.638041081      -0.02723808662                   0
       -0.0262067446         2.638041084      -0.02723808643               0.001
      -0.02620675216         2.638041087      -0.02723808624               0.002
      -0.02620675972          2.63804109      -0.02723808606               0.003
      -0.02620676728         2.638041092      -0.02723808587               0.004
      -0.02620677484         2.638041095      -0.02723808568               0.005
       -0.0262067824         2.638041098      -0.02723808549               0.006
      -0.02620678996           2.6380411       -0.0272380853               0.007
      -0.02620679752         2.638041103      -0.02723808511               0.008
      -0.02620680508         2.638041106      -0.02723808492               0.009
      -0.02620681264         2.638041108      -0.02723808473                0.01
       -0.0262068202         2.638041111      -0.02723808454               0.011
      -0.02620682776         2.638041114      -0.02723808436               0.012
      -0.02620683532         2.638041116      -0.02723808417               0.013
      -0.02620684288         2.638041119      -0.02723808398               0.014
      -0.02620685044         2.638041122      -0.02723808379               0.015
        -0.026206858         2.638041124       -0.0272380836               0.016
      -0.02620686556         2.638041127      -0.02723808341               0.017
      -0.02620687312          2.63804113      -0.02723808322               0.018
      -0.02620688068         2.638041132      -0.02723808303               0.019
      -0.02620688824         2.638041135      -0.02723808284                0.02
       -0.0262068958         2.638041138      -0.02723808266               0.021
      -0.02620690336          2.63804114      -0.02723808247               0.022
      -0.02620691092         2.638041143      -0.02723808228               0.023
      -0.02620691848         2.638041146      -0.02723808209               0.024
      -0.02620692604         2.638041149       -0.0272380819               0.025
       -0.0262069336         2.638041151      -0.02723808171               0.026
      -0.02620694116         2.638041154      -0.02723808152               0.027
      -0.02620694872         2.638041157      -0.02723808133               0.028
      -0.02620695628         2.638041159      -0.02723808114               0.029
      -0.02620696384         2.638041162      -0.02723808096                0.03
       -0.0262069714         2.638041165      -0.02723808077               0.031
      -0.02620697896         2.638041167      -0.02723808058               0.032
      -0.02620698652          2.63804117      -0.02723808039               0.033
      -0.02620699408         2.638041173       -0.0272380802               0.034
      -0.02620700164         2.638041175      -0.02723808001               0.035
       -0.0262070092         2.638041178      -0.02723807982               0.036
      -0.02620701676         2.638041181      -0.02723807963               0.037
      -0.02620702432         2.638041183      -0.02723807944               0.038
