Mercury
                 x:                  y:                  z:                  t: 
        -120.3266436        -106.9744027         2.052100995                   0
        -120.3266304        -106.9744222         2.052098188               0.001
        -120.3266171        -106.9744417          2.05209538               0.002
        -120.3266039        -106.9744613         2.052092573               0.003
        -120.3265907        -106.9744808         2.052089766               0.004
        -120.3265775        -106.9745003         2.052086958               0.005
        -120.3265643        -106.9745198         2.052084151               0.006
        -120.3265511        -106.9745393         2.052081343               0.007
        -120.3265379        -106.9745588         2.052078536               0.008
        -120.3265247        -106.9745783         2.052075728               0.009
        -120.3265114        -106.9745978         2.052072921                0.01
        -120.3264982        -106.9746173         2.052070113               0.011
         -120.326485        -106.9746369         2.052067305               0.012
        -120.3264718        -106.9746564         2.052064498               0.013
        -120.3264585        -106.9746759          2.05206169               0.014
        -120.3264453        -106.9746954         2.052058882               0.015
        -120.3264321        -106.9747149         2.052056075               0.016
        -120.3264189        -106.9747344         2.052053267               0.017
        -120.3264056        -106.9747539         2.052050459               0.018
        -120.3263924        -106.9747734         2.052047651               0.019
        -120.3263791        -106.9747928         2.052044843                0.02
        -120.3263659        -106.9748123         2.052042036               0.021
        -120.3263527        -106.9748318         2.052039228               0.022
        -120.3263394        -106.9748513          2.05203642               0.023
        -120.3263262        -106.9748708         2.052033612               0.024
        -120.3263129        -106.9748903         2.052030804               0.025
        -120.3262997        -106.9749098         2.052027996               0.026
        -120.3262864        -106.9749293         2.052025188               0.027
        -120.3262732        -106.9749487          2.05202238               0.028
        -120.3262599        -106.9749682         2.052019572               0.029
        -120.3262467        -106.9749877         2.052016763                0.03
        -120.3262334        -106.9750072         2.052013955               0.031
        -120.3262202        -106.9750267         2.052011147               0.032
        -120.3262069        -106.9750461         2.052008339               0.033
        -120.3261937        -106.9750656         2.052005531               0.034
        -120.3261804        -106.9750851         2.052002722               0.035
        -120.3261671        -106.9751046         2.051999914               0.036
        -120.3261539         -106.975124         2.051997106               0.037
        -120.3261406        -106.9751435         2.051994297               0.038
        -120.3261273         -106.975163         2.051991489               0.039
        -120.3261141        -106.9751824         2.051988681                0.04
        -120.3261008        -106.9752019         2.051985872               0.041
        -120.3260875        -106.9752213         2.051983064               0.042
        -120.3260743        -106.9752408         2.051980255               0.043
         -120.326061        -106.9752603         2.051977447               0.044
        -120.3260477        -106.9752797         2.051974638               0.045
        -120.3260344        -106.9752992          2.05197183               0.046
        -120.3260211        -106.9753186         2.051969021               0.047
        -120.3260079        -106.9753381         2.051966212               0.048
        -120.3259946        -106.9753575         2.051963404               0.049
        -120.3259813         -106.975377         2.051960595                0.05
         -120.325968        -106.9753964         2.051957786               0.051
        -120.3259547        -106.9754159         2.051954978               0.052
        -120.3259414        -106.9754353         2.051952169               0.053
        -120.3259281        -106.9754548          2.05194936               0.054
        -120.3259148        -106.9754742         2.051946551               0.055
        -120.3259015        -106.9754937         2.051943742               0.056
        -120.3258882        -106.9755131         2.051940933               0.057
        -120.3258749        -106.9755325         2.051938125               0.058
        -120.3258616         -106.975552         2.051935316               0.059
        -120.3258483        -106.9755714         2.051932507                0.06
         -120.325835        -106.9755908         2.051929698               0.061
        -120.3258217        -106.9756103         2.051926889               0.062
        -120.3258084        -106.9756297          2.05192408               0.063
        -120.3257951        -106.9756491          2.05192127               0.064
        -120.3257818        -106.9756686         2.051918461               0.065
        -120.3257685         -106.975688         2.051915652               0.066
        -120.3257552        -106.9757074         2.051912843               0.067
        -120.3257419        -106.9757268         2.051910034               0.068
        -120.3257285        -106.9757463         2.051907225               0.069
        -120.3257152        -106.9757657         2.051904415                0.07
        -120.3257019        -106.9757851         2.051901606               0.071
        -120.3256886        -106.9758045         2.051898797               0.072
        -120.3256753        -106.9758239         2.051895987               0.073
        -120.3256619        -106.9758433         2.051893178               0.074
