Venus
                 x:                  y:                  z:                  t: 
          264.570516        -11.97549697        -15.49656727                   0
          264.570517        -11.97547686        -15.49656706               0.001
          264.570518        -11.97545676        -15.49656684               0.002
         264.5705191        -11.97543665        -15.49656662               0.003
         264.5705201        -11.97541654         -15.4965664               0.004
         264.5705211        -11.97539644        -15.49656619               0.005
         264.5705221        -11.97537633        -15.49656597               0.006
         264.5705231        -11.97535623        -15.49656575               0.007
         264.5705241        -11.97533612        -15.49656554               0.008
         264.5705251        -11.97531601        -15.49656532               0.009
         264.5705261        -11.97529591         -15.4965651                0.01
         264.5705271         -11.9752758        -15.49656488               0.011
         264.5705281        -11.97525569        -15.49656467               0.012
         264.5705291        -11.97523559        -15.49656445               0.013
         264.5705301        -11.97521548        -15.49656423               0.014
         264.5705311        -11.97519537        -15.49656401               0.015
         264.5705321        -11.97517527         -15.4965638               0.016
         264.5705331        -11.97515516        -15.49656358               0.017
         264.5705341        -11.97513505        -15.49656336               0.018
         264.5705351        -11.97511495        -15.49656314               0.019
         264.5705361        -11.97509484        -15.49656292                0.02
         264.5705371        -11.97507473         -15.4965627               0.021
         264.5705381        -11.97505463        -15.49656249               0.022
         264.5705391        -11.97503452        -15.49656227               0.023
         264.5705401        -11.97501441        -15.49656205               0.024
         264.5705411        -11.97499431        -15.49656183               0.025
         264.5705421         -11.9749742        -15.49656161               0.026
         264.5705431        -11.97495409        -15.49656139               0.027
         264.5705441        -11.97493398        -15.49656118               0.028
          264.570545        -11.97491388        -15.49656096               0.029
          264.570546        -11.97489377        -15.49656074                0.03
          264.570547        -11.97487366        -15.49656052               0.031
          264.570548        -11.97485355         -15.4965603               0.032
          264.570549        -11.97483345        -15.49656008               0.033
           264.57055        -11.97481334        -15.49655986               0.034
         264.5705509        -11.97479323        -15.49655964               0.035
         264.5705519        -11.97477312        -15.49655942               0.036
         264.5705529        -11.97475302        -15.49655921               0.037
         264.5705539        -11.97473291        -15.49655899               0.038
         264.5705548         -11.9747128        -15.49655877               0.039
         264.5705558        -11.97469269        -15.49655855                0.04
         264.5705568        -11.97467259        -15.49655833               0.041
         264.5705578        -11.97465248        -15.49655811               0.042
         264.5705587        -11.97463237        -15.49655789               0.043
         264.5705597        -11.97461226        -15.49655767               0.044
         264.5705607        -11.97459215        -15.49655745               0.045
         264.5705616        -11.97457205        -15.49655723               0.046
         264.5705626        -11.97455194        -15.49655701               0.047
         264.5705636        -11.97453183        -15.49655679               0.048
         264.5705645        -11.97451172        -15.49655657               0.049
         264.5705655        -11.97449161        -15.49655635                0.05
         264.5705664         -11.9744715        -15.49655613               0.051
         264.5705674         -11.9744514        -15.49655591               0.052
         264.5705684        -11.97443129        -15.49655569               0.053
         264.5705693        -11.97441118        -15.49655547               0.054
         264.5705703        -11.97439107        -15.49655525               0.055
