Earth
                 x:                  y:                  z:                  t: 
         359.3174994          69.0042649      -0.03152476937                   0
          359.317496         69.00428176      -0.03152477057               0.001
         359.3174926         69.00429862      -0.03152477176               0.002
         359.3174892         69.00431548      -0.03152477295               0.003
         359.3174857         69.00433234      -0.03152477415               0.004
         359.3174823          69.0043492      -0.03152477534               0.005
         359.3174789         69.00436606      -0.03152477654               0.006
         359.3174755         69.00438292      -0.03152477773               0.007
         359.3174721         69.00439978      -0.03152477892               0.008
         359.3174687         69.00441664      -0.03152478012               0.009
         359.3174653          69.0044335      -0.03152478131                0.01
         359.3174619         69.00445036      -0.03152478251               0.011
         359.3174584         69.00446721       -0.0315247837               0.012
          359.317455         69.00448407      -0.03152478489               0.013
         359.3174516         69.00450093      -0.03152478609               0.014
         359.3174482         69.00451779      -0.03152478728               0.015
         359.3174448         69.00453465      -0.03152478847               0.016
         359.3174414         69.00455151      -0.03152478967               0.017
         359.3174379         69.00456836      -0.03152479086               0.018
         359.3174345         69.00458522      -0.03152479205               0.019
         359.3174311         69.00460208      -0.03152479324                0.02
         359.3174277         69.00461894      -0.03152479444               0.021
         359.3174243         69.00463579      -0.03152479563               0.022
         359.3174208         69.00465265      -0.03152479682               0.023
         359.3174174         69.00466951      -0.03152479802               0.024
          359.317414         69.00468637      -0.03152479921               0.025
         359.3174106         69.00470322       -0.0315248004               0.026
         359.3174071         69.00472008      -0.03152480159               0.027
         359.3174037         69.00473694      -0.03152480279               0.028
         359.3174003         69.00475379      -0.03152480398               0.029
         359.3173969         69.00477065      -0.03152480517                0.03
         359.3173934          69.0047875      -0.03152480636               0.031
           359.31739         69.00480436      -0.03152480756               0.032
         359.3173866         69.00482122      -0.03152480875               0.033
         359.3173831         69.00483807      -0.03152480994               0.034
         359.3173797         69.00485493      -0.03152481113               0.035
         359.3173763         69.00487178      -0.03152481232               0.036
         359.3173728         69.00488864      -0.03152481352               0.037
         359.3173694         69.00490549      -0.03152481471               0.038
          359.317366         69.00492235       -0.0315248159               0.039
         359.3173625          69.0049392      -0.03152481709                0.04
         359.3173591         69.00495606      -0.03152481828               0.041
         359.3173557         69.00497291      -0.03152481947               0.042
         359.3173522         69.00498977      -0.03152482067               0.043
         359.3173488         69.00500662      -0.03152482186               0.044
         359.3173453         69.00502347      -0.03152482305               0.045
         359.3173419         69.00504033      -0.03152482424               0.046
         359.3173385         69.00505718      -0.03152482543               0.047
          359.317335         69.00507404      -0.03152482662               0.048
         359.3173316         69.00509089      -0.03152482781               0.049
         359.3173281         69.00510774      -0.03152482901                0.05
         359.3173247          69.0051246       -0.0315248302               0.051
         359.3173213         69.00514145      -0.03152483139               0.052
         359.3173178          69.0051583      -0.03152483258               0.053
         359.3173144         69.00517516      -0.03152483377               0.054
