Mars
                 x:                  y:                  z:                  t: 
         492.7239114        -108.6833968        -14.45090017                   0
          492.723915        -108.6833819        -14.45089995               0.001
         492.7239186        -108.6833671        -14.45089973               0.002
         492.7239222        -108.6833522        -14.45089951               0.003
         492.7239258        -108.6833374        -14.45089928               0.004
         492.7239294        -108.6833225        -14.45089906               0.005
          492.723933        -108.6833077        -14.45089884               0.006
         492.7239366        -108.6832928        -14.45089862               0.007
         492.7239402         -108.683278        -14.45089839               0.008
         492.7239439        -108.6832631        -14.45089817               0.009
         492.7239475        -108.6832483        -14.45089795                0.01
         492.7239511        -108.6832334        -14.45089773               0.011
         492.7239547        -108.6832186         -14.4508975               0.012
         492.7239583        -108.6832037        -14.45089728               0.013
         492.7239619        -108.6831889        -14.45089706               0.014
         492.7239655         -108.683174        -14.45089684               0.015
         492.7239691        -108.6831592        -14.45089661               0.016
         492.7239727        -108.6831443        -14.45089639               0.017
         492.7239763        -108.6831295        -14.45089617               0.018
         492.7239799        -108.6831146        -14.45089595               0.019
         492.7239835        -108.6830998        -14.45089572                0.02
         492.7239871        -108.6830849         -14.4508955               0.021
         492.7239907        -108.6830701        -14.45089528               0.022
         492.7239943        -108.6830552        -14.45089505               0.023
         492.7239979        -108.6830404        -14.45089483               0.024
         492.7240015        -108.6830255        -14.45089461               0.025
         492.7240051        -108.6830107        -14.45089439               0.026
         492.7240087        -108.6829958        -14.45089416               0.027
         492.7240123         -108.682981        -14.45089394               0.028
         492.7240159        -108.6829661        -14.45089372               0.029
         492.7240195        -108.6829513        -14.45089349                0.03
         492.7240231        -108.6829364        -14.45089327               0.031
         492.7240267        -108.6829216        -14.45089305               0.032
         492.7240303        -108.6829067        -14.45089283               0.033
         492.7240339        -108.6828919         -14.4508926               0.034
         492.7240375         -108.682877        -14.45089238               0.035
         492.7240411        -108.6828622        -14.45089216               0.036
         492.7240446        -108.6828473        -14.45089193               0.037
         492.7240482        -108.6828325        -14.45089171               0.038
         492.7240518        -108.6828176        -14.45089149               0.039
         492.7240554        -108.6828028        -14.45089126                0.04
          492.724059        -108.6827879        -14.45089104               0.041
         492.7240626        -108.6827731        -14.45089082               0.042
         492.7240662        -108.6827582         -14.4508906               0.043
         492.7240698        -108.6827433        -14.45089037               0.044
         492.7240734        -108.6827285        -14.45089015               0.045
          492.724077        -108.6827136        -14.45088993               0.046
         492.7240806        -108.6826988         -14.4508897               0.047
         492.7240841        -108.6826839        -14.45088948               0.048
         492.7240877        -108.6826691        -14.45088926               0.049
         492.7240913        -108.6826542        -14.45088903                0.05
         492.7240949        -108.6826394        -14.45088881               0.051
         492.7240985        -108.6826245        -14.45088859               0.052
         492.7241021        -108.6826097        -14.45088836               0.053
         492.7241057        -108.6825948        -14.45088814               0.054
         492.7241093          -108.68258        -14.45088792               0.055
         492.7241128        -108.6825651        -14.45088769               0.056
         492.7241164        -108.6825503        -14.45088747               0.057
           492.72412        -108.6825354        -14.45088725               0.058
         492.7241236        -108.6825205        -14.45088702               0.059
         492.7241272        -108.6825057         -14.4508868                0.06
         492.7241308        -108.6824908        -14.45088658               0.061
         492.7241343         -108.682476        -14.45088635               0.062
         492.7241379        -108.6824611        -14.45088613               0.063
         492.7241415        -108.6824463        -14.45088591               0.064
         492.7241451        -108.6824314        -14.45088568               0.065
         492.7241487        -108.6824166        -14.45088546               0.066
         492.7241522        -108.6824017        -14.45088524               0.067
         492.7241558        -108.6823869        -14.45088501               0.068
         492.7241594         -108.682372        -14.45088479               0.069
          492.724163        -108.6823571        -14.45088457                0.07
         492.7241666        -108.6823423        -14.45088434               0.071
         492.7241701        -108.6823274        -14.45088412               0.072
         492.7241737        -108.6823126         -14.4508839               0.073
         492.7241773        -108.6822977        -14.45088367               0.074
         492.7241809        -108.6822829        -14.45088345               0.075
         492.7241844         -108.682268        -14.45088323               0.076
          492.724188        -108.6822532          -14.450883               0.077
         492.7241916        -108.6822383        -14.45088278               0.078
         492.7241952        -108.6822234        -14.45088256               0.079
         492.7241987        -108.6822086        -14.45088233                0.08
         492.7242023        -108.6821937        -14.45088211               0.081
         492.7242059        -108.6821789        -14.45088189               0.082
         492.7242095         -108.682164        -14.45088166               0.083
          492.724213        -108.6821492        -14.45088144               0.084
         492.7242166        -108.6821343        -14.45088122               0.085
         492.7242202        -108.6821195        -14.45088099               0.086
         492.7242237        -108.6821046        -14.45088077               0.087
         492.7242273        -108.6820897        -14.45088054               0.088
         492.7242309        -108.6820749        -14.45088032               0.089
         492.7242345          -108.68206         -14.4508801                0.09
          492.724238        -108.6820452        -14.45087987               0.091
         492.7242416        -108.6820303        -14.45087965               0.092
         492.7242452        -108.6820155        -14.45087943               0.093
         492.7242487        -108.6820006         -14.4508792               0.094
         492.7242523        -108.6819857        -14.45087898               0.095
         492.7242559        -108.6819709        -14.45087875               0.096
         492.7242594         -108.681956        -14.45087853               0.097
          492.724263        -108.6819412        -14.45087831               0.098
         492.7242666        -108.6819263        -14.45087808               0.099
         492.7242701        -108.6819115        -14.45087786                 0.1
         492.7242737        -108.6818966        -14.45087764               0.101
         492.7242773        -108.6818817        -14.45087741               0.102
         492.7242808        -108.6818669        -14.45087719               0.103
         492.7242844         -108.681852        -14.45087696               0.104
         492.7242879        -108.6818372        -14.45087674               0.105
         492.7242915        -108.6818223        -14.45087652               0.106
         492.7242951        -108.6818074        -14.45087629               0.107
         492.7242986        -108.6817926        -14.45087607               0.108
         492.7243022        -108.6817777        -14.45087584               0.109
         492.7243058        -108.6817629        -14.45087562                0.11
         492.7243093         -108.681748         -14.4508754               0.111
         492.7243129        -108.6817331        -14.45087517               0.112
         492.7243164        -108.6817183        -14.45087495               0.113
           492.72432        -108.6817034        -14.45087472               0.114
         492.7243236        -108.6816886         -14.4508745               0.115
         492.7243271        -108.6816737        -14.45087428               0.116
         492.7243307        -108.6816589        -14.45087405               0.117
         492.7243342         -108.681644        -14.45087383               0.118
         492.7243378        -108.6816291         -14.4508736               0.119
         492.7243413        -108.6816143        -14.45087338                0.12
         492.7243449        -108.6815994        -14.45087316               0.121
         492.7243484        -108.6815846        -14.45087293               0.122
          492.724352        -108.6815697        -14.45087271               0.123
         492.7243556        -108.6815548        -14.45087248               0.124
         492.7243591          -108.68154        -14.45087226               0.125
         492.7243627        -108.6815251        -14.45087204               0.126
         492.7243662        -108.6815102        -14.45087181               0.127
         492.7243698        -108.6814954        -14.45087159               0.128
         492.7243733        -108.6814805        -14.45087136               0.129
         492.7243769        -108.6814657        -14.45087114                0.13
         492.7243804        -108.6814508        -14.45087091               0.131
          492.724384        -108.6814359        -14.45087069               0.132
         492.7243875        -108.6814211        -14.45087047               0.133
         492.7243911        -108.6814062        -14.45087024               0.134
         492.7243946        -108.6813914        -14.45087002               0.135
         492.7243982        -108.6813765        -14.45086979               0.136
         492.7244017        -108.6813616        -14.45086957               0.137
         492.7244053        -108.6813468        -14.45086934               0.138
         492.7244088        -108.6813319        -14.45086912               0.139
         492.7244124        -108.6813171         -14.4508689                0.14
         492.7244159        -108.6813022        -14.45086867               0.141
         492.7244195        -108.6812873        -14.45086845               0.142
          492.724423        -108.6812725        -14.45086822               0.143
         492.7244265        -108.6812576          -14.450868               0.144
         492.7244301        -108.6812427        -14.45086777               0.145
         492.7244336        -108.6812279        -14.45086755               0.146
         492.7244372         -108.681213        -14.45086733               0.147
         492.7244407        -108.6811982         -14.4508671               0.148
         492.7244443        -108.6811833        -14.45086688               0.149
         492.7244478        -108.6811684        -14.45086665                0.15
         492.7244513        -108.6811536        -14.45086643               0.151
         492.7244549        -108.6811387         -14.4508662               0.152
         492.7244584        -108.6811238        -14.45086598               0.153
          492.724462         -108.681109        -14.45086575               0.154
         492.7244655        -108.6810941        -14.45086553               0.155
         492.7244691        -108.6810792         -14.4508653               0.156
         492.7244726        -108.6810644        -14.45086508               0.157
         492.7244761        -108.6810495        -14.45086486               0.158
         492.7244797        -108.6810347        -14.45086463               0.159
         492.7244832        -108.6810198        -14.45086441                0.16
         492.7244867        -108.6810049        -14.45086418               0.161
         492.7244903        -108.6809901        -14.45086396               0.162
         492.7244938        -108.6809752        -14.45086373               0.163
         492.7244974        -108.6809603        -14.45086351               0.164
         492.7245009        -108.6809455        -14.45086328               0.165
         492.7245044        -108.6809306        -14.45086306               0.166
          492.724508        -108.6809157        -14.45086283               0.167
         492.7245115        -108.6809009        -14.45086261               0.168
          492.724515         -108.680886        -14.45086238               0.169
         492.7245186        -108.6808711        -14.45086216                0.17
         492.7245221        -108.6808563        -14.45086193               0.171
         492.7245256        -108.6808414        -14.45086171               0.172
         492.7245292        -108.6808265        -14.45086149               0.173
         492.7245327        -108.6808117        -14.45086126               0.174
         492.7245362        -108.6807968        -14.45086104               0.175
         492.7245398         -108.680782        -14.45086081               0.176
         492.7245433        -108.6807671        -14.45086059               0.177
         492.7245468        -108.6807522        -14.45086036               0.178
         492.7245503        -108.6807374        -14.45086014               0.179
         492.7245539        -108.6807225        -14.45085991                0.18
         492.7245574        -108.6807076        -14.45085969               0.181
         492.7245609        -108.6806928        -14.45085946               0.182
         492.7245645        -108.6806779        -14.45085924               0.183
          492.724568         -108.680663        -14.45085901               0.184
         492.7245715        -108.6806482        -14.45085879               0.185
          492.724575        -108.6806333        -14.45085856               0.186
         492.7245786        -108.6806184        -14.45085834               0.187
         492.7245821        -108.6806036        -14.45085811               0.188
         492.7245856        -108.6805887        -14.45085789               0.189
         492.7245891        -108.6805738        -14.45085766                0.19
         492.7245927         -108.680559        -14.45085744               0.191
         492.7245962        -108.6805441        -14.45085721               0.192
         492.7245997        -108.6805292        -14.45085699               0.193
         492.7246032        -108.6805144        -14.45085676               0.194
         492.7246068        -108.6804995        -14.45085654               0.195
         492.7246103        -108.6804846        -14.45085631               0.196
         492.7246138        -108.6804698        -14.45085609               0.197
         492.7246173        -108.6804549        -14.45085586               0.198
         492.7246208          -108.68044        -14.45085564               0.199
         492.7246244        -108.6804251        -14.45085541                 0.2
         492.7246279        -108.6804103        -14.45085519               0.201
         492.7246314        -108.6803954        -14.45085496               0.202
         492.7246349        -108.6803805        -14.45085474               0.203
         492.7246384        -108.6803657        -14.45085451               0.204
         492.7246419        -108.6803508        -14.45085429               0.205
         492.7246455        -108.6803359        -14.45085406               0.206
          492.724649        -108.6803211        -14.45085383               0.207
         492.7246525        -108.6803062        -14.45085361               0.208
          492.724656        -108.6802913        -14.45085338               0.209
         492.7246595        -108.6802765        -14.45085316                0.21
          492.724663        -108.6802616        -14.45085293               0.211
         492.7246666        -108.6802467        -14.45085271               0.212
         492.7246701        -108.6802319        -14.45085248               0.213
         492.7246736         -108.680217        -14.45085226               0.214
         492.7246771        -108.6802021        -14.45085203               0.215
         492.7246806        -108.6801872        -14.45085181               0.216
         492.7246841        -108.6801724        -14.45085158               0.217
         492.7246876        -108.6801575        -14.45085136               0.218
         492.7246911        -108.6801426        -14.45085113               0.219
         492.7246947        -108.6801278        -14.45085091                0.22
         492.7246982        -108.6801129        -14.45085068               0.221
         492.7247017         -108.680098        -14.45085045               0.222
         492.7247052        -108.6800832        -14.45085023               0.223
         492.7247087        -108.6800683           -14.45085               0.224
         492.7247122        -108.6800534        -14.45084978               0.225
         492.7247157        -108.6800385        -14.45084955               0.226
         492.7247192        -108.6800237        -14.45084933               0.227
         492.7247227        -108.6800088         -14.4508491               0.228
         492.7247262        -108.6799939        -14.45084888               0.229
         492.7247297        -108.6799791        -14.45084865                0.23
         492.7247332        -108.6799642        -14.45084843               0.231
         492.7247368        -108.6799493         -14.4508482               0.232
         492.7247403        -108.6799345        -14.45084797               0.233
         492.7247438        -108.6799196        -14.45084775               0.234
         492.7247473        -108.6799047        -14.45084752               0.235
         492.7247508        -108.6798898         -14.4508473               0.236
         492.7247543         -108.679875        -14.45084707               0.237
         492.7247578        -108.6798601        -14.45084685               0.238
         492.7247613        -108.6798452        -14.45084662               0.239
         492.7247648        -108.6798303        -14.45084639                0.24
         492.7247683        -108.6798155        -14.45084617               0.241
         492.7247718        -108.6798006        -14.45084594               0.242
         492.7247753        -108.6797857        -14.45084572               0.243
         492.7247788        -108.6797709        -14.45084549               0.244
         492.7247823         -108.679756        -14.45084527               0.245
         492.7247858        -108.6797411        -14.45084504               0.246
         492.7247893        -108.6797262        -14.45084481               0.247
         492.7247928        -108.6797114        -14.45084459               0.248
         492.7247963        -108.6796965        -14.45084436               0.249
         492.7247998        -108.6796816        -14.45084414                0.25
         492.7248033        -108.6796668        -14.45084391               0.251
         492.7248068        -108.6796519        -14.45084369               0.252
         492.7248103         -108.679637        -14.45084346               0.253
         492.7248138        -108.6796221        -14.45084323               0.254
         492.7248173        -108.6796073        -14.45084301               0.255
         492.7248208        -108.6795924        -14.45084278               0.256
         492.7248242        -108.6795775        -14.45084256               0.257
         492.7248277        -108.6795626        -14.45084233               0.258
         492.7248312        -108.6795478         -14.4508421               0.259
         492.7248347        -108.6795329        -14.45084188                0.26
         492.7248382         -108.679518        -14.45084165               0.261
         492.7248417        -108.6795031        -14.45084143               0.262
         492.7248452        -108.6794883         -14.4508412               0.263
