Jupiter
                 x:                  y:                  z:                  t: 
        -995.2572196        -1689.204298         29.26839485                   0
        -995.2572132        -1689.204302         29.26839472               0.001
        -995.2572068        -1689.204305         29.26839459               0.002
        -995.2572004        -1689.204309         29.26839446               0.003
         -995.257194        -1689.204312         29.26839433               0.004
        -995.2571876        -1689.204316          29.2683942               0.005
        -995.2571812        -1689.204319         29.26839408               0.006
        -995.2571748        -1689.204323         29.26839395               0.007
        -995.2571683        -1689.204326         29.26839382               0.008
        -995.2571619         -1689.20433         29.26839369               0.009
        -995.2571555        -1689.204333         29.26839356                0.01
        -995.2571491        -1689.204337         29.26839343               0.011
        -995.2571427         -1689.20434          29.2683933               0.012
        -995.2571363        -1689.204344         29.26839317               0.013
        -995.2571299        -1689.204347         29.26839304               0.014
        -995.2571235         -1689.20435         29.26839291               0.015
         -995.257117        -1689.204354         29.26839278               0.016
        -995.2571106        -1689.204357         29.26839266               0.017
        -995.2571042        -1689.204361         29.26839253               0.018
        -995.2570978        -1689.204364          29.2683924               0.019
        -995.2570914        -1689.204368         29.26839227                0.02
         -995.257085        -1689.204371         29.26839214               0.021
        -995.2570786        -1689.204375         29.26839201               0.022
        -995.2570722        -1689.204378         29.26839188               0.023
        -995.2570658        -1689.204382         29.26839175               0.024
        -995.2570593        -1689.204385         29.26839162               0.025
        -995.2570529        -1689.204389         29.26839149               0.026
        -995.2570465        -1689.204392         29.26839137               0.027
        -995.2570401        -1689.204396         29.26839124               0.028
        -995.2570337        -1689.204399         29.26839111               0.029
        -995.2570273        -1689.204403         29.26839098                0.03
        -995.2570209        -1689.204406         29.26839085               0.031
        -995.2570145        -1689.204409         29.26839072               0.032
         -995.257008        -1689.204413         29.26839059               0.033
        -995.2570016        -1689.204416         29.26839046               0.034
        -995.2569952         -1689.20442         29.26839033               0.035
        -995.2569888        -1689.204423          29.2683902               0.036
        -995.2569824        -1689.204427         29.26839008               0.037
         -995.256976         -1689.20443         29.26838995               0.038
        -995.2569696        -1689.204434         29.26838982               0.039
        -995.2569632        -1689.204437         29.26838969                0.04
        -995.2569567        -1689.204441         29.26838956               0.041
        -995.2569503        -1689.204444         29.26838943               0.042
        -995.2569439        -1689.204448          29.2683893               0.043
        -995.2569375        -1689.204451         29.26838917               0.044
        -995.2569311        -1689.204455         29.26838904               0.045
        -995.2569247        -1689.204458         29.26838891               0.046
        -995.2569183        -1689.204462         29.26838878               0.047
        -995.2569119        -1689.204465         29.26838866               0.048
        -995.2569054        -1689.204468         29.26838853               0.049
         -995.256899        -1689.204472          29.2683884                0.05
        -995.2568926        -1689.204475         29.26838827               0.051
        -995.2568862        -1689.204479         29.26838814               0.052
        -995.2568798        -1689.204482         29.26838801               0.053
        -995.2568734        -1689.204486         29.26838788               0.054
         -995.256867        -1689.204489         29.26838775               0.055
        -995.2568605        -1689.204493         29.26838762               0.056
        -995.2568541        -1689.204496         29.26838749               0.057
        -995.2568477          -1689.2045         29.26838737               0.058
        -995.2568413        -1689.204503         29.26838724               0.059
        -995.2568349        -1689.204507         29.26838711                0.06
        -995.2568285         -1689.20451         29.26838698               0.061
        -995.2568221        -1689.204514         29.26838685               0.062
        -995.2568157        -1689.204517         29.26838672               0.063
        -995.2568092        -1689.204521         29.26838659               0.064
        -995.2568028        -1689.204524         29.26838646               0.065
        -995.2567964        -1689.204527         29.26838633               0.066
          -995.25679        -1689.204531          29.2683862               0.067
        -995.2567836        -1689.204534         29.26838608               0.068
        -995.2567772        -1689.204538         29.26838595               0.069
        -995.2567708        -1689.204541         29.26838582                0.07
        -995.2567644        -1689.204545         29.26838569               0.071
