Saturn
                 x:                  y:                  z:                  t: 
         546.8094083        -3631.852754         41.38222443                   0
         546.8094135        -3631.852753         41.38222421               0.001
         546.8094187        -3631.852752         41.38222399               0.002
         546.8094239        -3631.852752         41.38222377               0.003
         546.8094291        -3631.852751         41.38222355               0.004
         546.8094343         -3631.85275         41.38222333               0.005
         546.8094396        -3631.852749         41.38222311               0.006
         546.8094448        -3631.852748         41.38222289               0.007
           546.80945        -3631.852748         41.38222267               0.008
         546.8094552        -3631.852747         41.38222244               0.009
         546.8094604        -3631.852746         41.38222222                0.01
         546.8094656        -3631.852745           41.382222               0.011
         546.8094708        -3631.852744         41.38222178               0.012
          546.809476        -3631.852744         41.38222156               0.013
         546.8094812        -3631.852743         41.38222134               0.014
         546.8094864        -3631.852742         41.38222112               0.015
         546.8094917        -3631.852741          41.3822209               0.016
         546.8094969         -3631.85274         41.38222068               0.017
         546.8095021        -3631.852739         41.38222045               0.018
         546.8095073        -3631.852739         41.38222023               0.019
         546.8095125        -3631.852738         41.38222001                0.02
         546.8095177        -3631.852737         41.38221979               0.021
         546.8095229        -3631.852736         41.38221957               0.022
         546.8095281        -3631.852735         41.38221935               0.023
         546.8095333        -3631.852735         41.38221913               0.024
         546.8095385        -3631.852734         41.38221891               0.025
         546.8095437        -3631.852733         41.38221869               0.026
          546.809549        -3631.852732         41.38221846               0.027
         546.8095542        -3631.852731         41.38221824               0.028
         546.8095594        -3631.852731         41.38221802               0.029
         546.8095646         -3631.85273          41.3822178                0.03
         546.8095698        -3631.852729         41.38221758               0.031
          546.809575        -3631.852728         41.38221736               0.032
         546.8095802        -3631.852727         41.38221714               0.033
         546.8095854        -3631.852726         41.38221692               0.034
         546.8095906        -3631.852726          41.3822167               0.035
         546.8095958        -3631.852725         41.38221647               0.036
         546.8096011        -3631.852724         41.38221625               0.037
         546.8096063        -3631.852723         41.38221603               0.038
         546.8096115        -3631.852722         41.38221581               0.039
         546.8096167        -3631.852722         41.38221559                0.04
         546.8096219        -3631.852721         41.38221537               0.041
         546.8096271         -3631.85272         41.38221515               0.042
         546.8096323        -3631.852719         41.38221493               0.043
         546.8096375        -3631.852718         41.38221471               0.044
         546.8096427        -3631.852718         41.38221448               0.045
         546.8096479        -3631.852717         41.38221426               0.046
         546.8096531        -3631.852716         41.38221404               0.047
         546.8096584        -3631.852715         41.38221382               0.048
         546.8096636        -3631.852714          41.3822136               0.049
         546.8096688        -3631.852713         41.38221338                0.05
          546.809674        -3631.852713         41.38221316               0.051
         546.8096792        -3631.852712         41.38221294               0.052
         546.8096844        -3631.852711         41.38221271               0.053
         546.8096896         -3631.85271         41.38221249               0.054
         546.8096948        -3631.852709         41.38221227               0.055
            546.8097        -3631.852709         41.38221205               0.056
         546.8097052        -3631.852708         41.38221183               0.057
         546.8097105        -3631.852707         41.38221161               0.058
         546.8097157        -3631.852706         41.38221139               0.059
         546.8097209        -3631.852705         41.38221117                0.06
         546.8097261        -3631.852705         41.38221095               0.061
         546.8097313        -3631.852704         41.38221072               0.062
         546.8097365        -3631.852703          41.3822105               0.063
         546.8097417        -3631.852702         41.38221028               0.064
         546.8097469        -3631.852701         41.38221006               0.065
         546.8097521          -3631.8527         41.38220984               0.066
         546.8097573          -3631.8527         41.38220962               0.067
         546.8097625        -3631.852699          41.3822094               0.068
         546.8097678        -3631.852698         41.38220918               0.069
          546.809773        -3631.852697         41.38220896                0.07
         546.8097782        -3631.852696         41.38220873               0.071
         546.8097834        -3631.852696         41.38220851               0.072
         546.8097886        -3631.852695         41.38220829               0.073
         546.8097938        -3631.852694         41.38220807               0.074
          546.809799        -3631.852693         41.38220785               0.075
         546.8098042        -3631.852692         41.38220763               0.076
         546.8098094        -3631.852692         41.38220741               0.077
         546.8098146        -3631.852691         41.38220719               0.078
         546.8098199         -3631.85269         41.38220697               0.079
         546.8098251        -3631.852689         41.38220674                0.08
         546.8098303        -3631.852688         41.38220652               0.081
         546.8098355        -3631.852687          41.3822063               0.082
         546.8098407        -3631.852687         41.38220608               0.083
         546.8098459        -3631.852686         41.38220586               0.084
         546.8098511        -3631.852685         41.38220564               0.085
         546.8098563        -3631.852684         41.38220542               0.086
         546.8098615        -3631.852683          41.3822052               0.087
         546.8098667        -3631.852683         41.38220497               0.088
         546.8098719        -3631.852682         41.38220475               0.089
         546.8098772        -3631.852681         41.38220453                0.09
         546.8098824         -3631.85268         41.38220431               0.091
         546.8098876        -3631.852679         41.38220409               0.092
         546.8098928        -3631.852679         41.38220387               0.093
          546.809898        -3631.852678         41.38220365               0.094
         546.8099032        -3631.852677         41.38220343               0.095
         546.8099084        -3631.852676         41.38220321               0.096
         546.8099136        -3631.852675         41.38220298               0.097
         546.8099188        -3631.852674         41.38220276               0.098
          546.809924        -3631.852674         41.38220254               0.099
         546.8099292        -3631.852673         41.38220232                 0.1
         546.8099345        -3631.852672          41.3822021               0.101
         546.8099397        -3631.852671         41.38220188               0.102
         546.8099449         -3631.85267         41.38220166               0.103
         546.8099501         -3631.85267         41.38220144               0.104
         546.8099553        -3631.852669         41.38220122               0.105
         546.8099605        -3631.852668         41.38220099               0.106
         546.8099657        -3631.852667         41.38220077               0.107
         546.8099709        -3631.852666         41.38220055               0.108
         546.8099761        -3631.852666         41.38220033               0.109
         546.8099813        -3631.852665         41.38220011                0.11
         546.8099866        -3631.852664         41.38219989               0.111
         546.8099918        -3631.852663         41.38219967               0.112
          546.809997        -3631.852662         41.38219945               0.113
         546.8100022        -3631.852661         41.38219923               0.114
         546.8100074        -3631.852661           41.382199               0.115
         546.8100126         -3631.85266         41.38219878               0.116
         546.8100178        -3631.852659         41.38219856               0.117
          546.810023        -3631.852658         41.38219834               0.118
         546.8100282        -3631.852657         41.38219812               0.119
         546.8100334        -3631.852657          41.3821979                0.12
         546.8100386        -3631.852656         41.38219768               0.121
         546.8100439        -3631.852655         41.38219746               0.122
         546.8100491        -3631.852654         41.38219723               0.123
         546.8100543        -3631.852653         41.38219701               0.124
         546.8100595        -3631.852653         41.38219679               0.125
         546.8100647        -3631.852652         41.38219657               0.126
         546.8100699        -3631.852651         41.38219635               0.127
         546.8100751         -3631.85265         41.38219613               0.128
         546.8100803        -3631.852649         41.38219591               0.129
         546.8100855        -3631.852648         41.38219569                0.13
         546.8100907        -3631.852648         41.38219547               0.131
         546.8100959        -3631.852647         41.38219524               0.132
         546.8101012        -3631.852646         41.38219502               0.133
         546.8101064        -3631.852645          41.3821948               0.134
         546.8101116        -3631.852644         41.38219458               0.135
         546.8101168        -3631.852644         41.38219436               0.136
          546.810122        -3631.852643         41.38219414               0.137
         546.8101272        -3631.852642         41.38219392               0.138
         546.8101324        -3631.852641          41.3821937               0.139
         546.8101376         -3631.85264         41.38219348                0.14
         546.8101428        -3631.852639         41.38219325               0.141
