Uranus
                 x:                  y:                  z:                  t: 
         6280.823277         3639.894022        -67.85017042                   0
         6280.823279         3639.894025        -67.85017039               0.001
         6280.823281         3639.894028        -67.85017035               0.002
         6280.823283         3639.894032        -67.85017031               0.003
         6280.823285         3639.894035        -67.85017027               0.004
         6280.823287         3639.894038        -67.85017023               0.005
         6280.823289         3639.894041         -67.8501702               0.006
         6280.823291         3639.894045        -67.85017016               0.007
         6280.823293         3639.894048        -67.85017012               0.008
         6280.823295         3639.894051        -67.85017008               0.009
         6280.823297         3639.894054        -67.85017004                0.01
         6280.823299         3639.894057        -67.85017001               0.011
         6280.823301         3639.894061        -67.85016997               0.012
         6280.823303         3639.894064        -67.85016993               0.013
         6280.823305         3639.894067        -67.85016989               0.014
         6280.823307          3639.89407        -67.85016985               0.015
         6280.823309         3639.894074        -67.85016982               0.016
         6280.823311         3639.894077        -67.85016978               0.017
         6280.823313          3639.89408        -67.85016974               0.018
         6280.823315         3639.894083         -67.8501697               0.019
         6280.823317         3639.894086        -67.85016966                0.02
         6280.823319          3639.89409        -67.85016963               0.021
         6280.823321         3639.894093        -67.85016959               0.022
         6280.823323         3639.894096        -67.85016955               0.023
         6280.823325         3639.894099        -67.85016951               0.024
         6280.823327         3639.894102        -67.85016947               0.025
         6280.823329         3639.894106        -67.85016944               0.026
         6280.823331         3639.894109         -67.8501694               0.027
         6280.823333         3639.894112        -67.85016936               0.028
         6280.823335         3639.894115        -67.85016932               0.029
         6280.823337         3639.894119        -67.85016928                0.03
         6280.823339         3639.894122        -67.85016925               0.031
         6280.823341         3639.894125        -67.85016921               0.032
         6280.823343         3639.894128        -67.85016917               0.033
         6280.823345         3639.894131        -67.85016913               0.034
         6280.823347         3639.894135        -67.85016909               0.035
         6280.823349         3639.894138        -67.85016906               0.036
         6280.823351         3639.894141        -67.85016902               0.037
         6280.823353         3639.894144        -67.85016898               0.038
         6280.823355         3639.894148        -67.85016894               0.039
         6280.823357         3639.894151         -67.8501689                0.04
         6280.823359         3639.894154        -67.85016887               0.041
         6280.823361         3639.894157        -67.85016883               0.042
         6280.823363          3639.89416        -67.85016879               0.043
         6280.823365         3639.894164        -67.85016875               0.044
         6280.823367         3639.894167        -67.85016871               0.045
         6280.823369          3639.89417        -67.85016868               0.046
         6280.823371         3639.894173        -67.85016864               0.047
         6280.823373         3639.894177         -67.8501686               0.048
         6280.823375          3639.89418        -67.85016856               0.049
         6280.823377         3639.894183        -67.85016853                0.05
         6280.823379         3639.894186        -67.85016849               0.051
         6280.823381         3639.894189        -67.85016845               0.052
         6280.823383         3639.894193        -67.85016841               0.053
         6280.823385         3639.894196        -67.85016837               0.054
         6280.823387         3639.894199        -67.85016834               0.055
         6280.823389         3639.894202         -67.8501683               0.056
         6280.823391         3639.894206        -67.85016826               0.057
         6280.823393         3639.894209        -67.85016822               0.058
         6280.823395         3639.894212        -67.85016818               0.059
         6280.823397         3639.894215        -67.85016815                0.06
         6280.823399         3639.894218        -67.85016811               0.061
         6280.823401         3639.894222        -67.85016807               0.062
         6280.823403         3639.894225        -67.85016803               0.063
         6280.823405         3639.894228        -67.85016799               0.064
         6280.823407         3639.894231        -67.85016796               0.065
         6280.823409         3639.894234        -67.85016792               0.066
         6280.823411         3639.894238        -67.85016788               0.067
         6280.823413         3639.894241        -67.85016784               0.068
         6280.823415         3639.894244         -67.8501678               0.069
         6280.823417         3639.894247        -67.85016777                0.07
         6280.823419         3639.894251        -67.85016773               0.071
         6280.823421         3639.894254        -67.85016769               0.072
         6280.823423         3639.894257        -67.85016765               0.073
         6280.823425          3639.89426        -67.85016761               0.074
         6280.823427         3639.894263        -67.85016758               0.075
         6280.823429         3639.894267        -67.85016754               0.076
         6280.823431          3639.89427         -67.8501675               0.077
         6280.823433         3639.894273        -67.85016746               0.078
         6280.823435         3639.894276        -67.85016742               0.079
         6280.823437          3639.89428        -67.85016739                0.08
         6280.823439         3639.894283        -67.85016735               0.081
         6280.823441         3639.894286        -67.85016731               0.082
         6280.823443         3639.894289        -67.85016727               0.083
         6280.823445         3639.894292        -67.85016723               0.084
         6280.823447         3639.894296         -67.8501672               0.085
         6280.823449         3639.894299        -67.85016716               0.086
         6280.823451         3639.894302        -67.85016712               0.087
         6280.823453         3639.894305        -67.85016708               0.088
         6280.823455         3639.894309        -67.85016704               0.089
         6280.823457         3639.894312        -67.85016701                0.09
         6280.823459         3639.894315        -67.85016697               0.091
         6280.823461         3639.894318        -67.85016693               0.092
         6280.823463         3639.894321        -67.85016689               0.093
         6280.823465         3639.894325        -67.85016685               0.094
         6280.823467         3639.894328        -67.85016682               0.095
         6280.823469         3639.894331        -67.85016678               0.096
         6280.823471         3639.894334        -67.85016674               0.097
         6280.823473         3639.894338         -67.8501667               0.098
         6280.823475         3639.894341        -67.85016667               0.099
         6280.823477         3639.894344        -67.85016663                 0.1
         6280.823479         3639.894347        -67.85016659               0.101
         6280.823481          3639.89435        -67.85016655               0.102
         6280.823483         3639.894354        -67.85016651               0.103
         6280.823485         3639.894357        -67.85016648               0.104
         6280.823487          3639.89436        -67.85016644               0.105
         6280.823489         3639.894363         -67.8501664               0.106
         6280.823491         3639.894366        -67.85016636               0.107
         6280.823493          3639.89437        -67.85016632               0.108
         6280.823495         3639.894373        -67.85016629               0.109
         6280.823497         3639.894376        -67.85016625                0.11
         6280.823499         3639.894379        -67.85016621               0.111
         6280.823501         3639.894383        -67.85016617               0.112
         6280.823503         3639.894386        -67.85016613               0.113
         6280.823505         3639.894389         -67.8501661               0.114
         6280.823507         3639.894392        -67.85016606               0.115
         6280.823509         3639.894395        -67.85016602               0.116
         6280.823511         3639.894399        -67.85016598               0.117
         6280.823513         3639.894402        -67.85016594               0.118
         6280.823515         3639.894405        -67.85016591               0.119
         6280.823517         3639.894408        -67.85016587                0.12
         6280.823519         3639.894412        -67.85016583               0.121
         6280.823521         3639.894415        -67.85016579               0.122
         6280.823523         3639.894418        -67.85016575               0.123
         6280.823525         3639.894421        -67.85016572               0.124
         6280.823527         3639.894424        -67.85016568               0.125
         6280.823529         3639.894428        -67.85016564               0.126
         6280.823531         3639.894431         -67.8501656               0.127
         6280.823533         3639.894434        -67.85016556               0.128
         6280.823535         3639.894437        -67.85016553               0.129
         6280.823537         3639.894441        -67.85016549                0.13
         6280.823539         3639.894444        -67.85016545               0.131
         6280.823541         3639.894447        -67.85016541               0.132
         6280.823543          3639.89445        -67.85016537               0.133
         6280.823545         3639.894453        -67.85016534               0.134
         6280.823547         3639.894457         -67.8501653               0.135
         6280.823549          3639.89446        -67.85016526               0.136
         6280.823551         3639.894463        -67.85016522               0.137
         6280.823553         3639.894466        -67.85016518               0.138
         6280.823555          3639.89447        -67.85016515               0.139
         6280.823557         3639.894473        -67.85016511                0.14
         6280.823559         3639.894476        -67.85016507               0.141
         6280.823561         3639.894479        -67.85016503               0.142
         6280.823563         3639.894482        -67.85016499               0.143
         6280.823565         3639.894486        -67.85016496               0.144
         6280.823567         3639.894489        -67.85016492               0.145
         6280.823569         3639.894492        -67.85016488               0.146
         6280.823571         3639.894495        -67.85016484               0.147
         6280.823573         3639.894498        -67.85016481               0.148
         6280.823575         3639.894502        -67.85016477               0.149
         6280.823577         3639.894505        -67.85016473                0.15
         6280.823579         3639.894508        -67.85016469               0.151
         6280.823581         3639.894511        -67.85016465               0.152
         6280.823583         3639.894515        -67.85016462               0.153
         6280.823585         3639.894518        -67.85016458               0.154
         6280.823587         3639.894521        -67.85016454               0.155
         6280.823589         3639.894524         -67.8501645               0.156
         6280.823591         3639.894527        -67.85016446               0.157
         6280.823593         3639.894531        -67.85016443               0.158
         6280.823595         3639.894534        -67.85016439               0.159
         6280.823597         3639.894537        -67.85016435                0.16
         6280.823599          3639.89454        -67.85016431               0.161
         6280.823601         3639.894544        -67.85016427               0.162
         6280.823603         3639.894547        -67.85016424               0.163
         6280.823605          3639.89455         -67.8501642               0.164
         6280.823607         3639.894553        -67.85016416               0.165
         6280.823609         3639.894556        -67.85016412               0.166
         6280.823611          3639.89456        -67.85016408               0.167
         6280.823613         3639.894563        -67.85016405               0.168
         6280.823615         3639.894566        -67.85016401               0.169
         6280.823617         3639.894569        -67.85016397                0.17
         6280.823619         3639.894573        -67.85016393               0.171
         6280.823621         3639.894576        -67.85016389               0.172
         6280.823623         3639.894579        -67.85016386               0.173
         6280.823625         3639.894582        -67.85016382               0.174
         6280.823627         3639.894585        -67.85016378               0.175
         6280.823629         3639.894589        -67.85016374               0.176
         6280.823631         3639.894592         -67.8501637               0.177
         6280.823633         3639.894595        -67.85016367               0.178
         6280.823635         3639.894598        -67.85016363               0.179
         6280.823637         3639.894601        -67.85016359                0.18
         6280.823639         3639.894605        -67.85016355               0.181
         6280.823641         3639.894608        -67.85016351               0.182
         6280.823643         3639.894611        -67.85016348               0.183
