Neptune
                 x:                  y:                  z:                  t: 
         10560.25194        -2831.801625        -185.0559669                   0
         10560.25194        -2831.801622         -185.055967               0.001
         10560.25194        -2831.801619        -185.0559671               0.002
         10560.25194        -2831.801616        -185.0559672               0.003
         10560.25194        -2831.801613        -185.0559673               0.004
         10560.25194         -2831.80161        -185.0559673               0.005
         10560.25194        -2831.801607        -185.0559674               0.006
         10560.25194        -2831.801604        -185.0559675               0.007
         10560.25194        -2831.801601        -185.0559676               0.008
         10560.25194        -2831.801598        -185.0559677               0.009
         10560.25194        -2831.801595        -185.0559677                0.01
         10560.25194        -2831.801592        -185.0559678               0.011
         10560.25195        -2831.801589        -185.0559679               0.012
         10560.25195        -2831.801586         -185.055968               0.013
         10560.25195        -2831.801583        -185.0559681               0.014
         10560.25195         -2831.80158        -185.0559682               0.015
         10560.25195        -2831.801576        -185.0559682               0.016
         10560.25195        -2831.801573        -185.0559683               0.017
         10560.25195         -2831.80157        -185.0559684               0.018
         10560.25195        -2831.801567        -185.0559685               0.019
         10560.25195        -2831.801564        -185.0559686                0.02
         10560.25195        -2831.801561        -185.0559686               0.021
         10560.25195        -2831.801558        -185.0559687               0.022
         10560.25195        -2831.801555        -185.0559688               0.023
         10560.25195        -2831.801552        -185.0559689               0.024
         10560.25196        -2831.801549         -185.055969               0.025
         10560.25196        -2831.801546        -185.0559691               0.026
         10560.25196        -2831.801543        -185.0559691               0.027
         10560.25196         -2831.80154        -185.0559692               0.028
         10560.25196        -2831.801537        -185.0559693               0.029
         10560.25196        -2831.801534        -185.0559694                0.03
         10560.25196        -2831.801531        -185.0559695               0.031
         10560.25196        -2831.801528        -185.0559695               0.032
         10560.25196        -2831.801525        -185.0559696               0.033
         10560.25196        -2831.801522        -185.0559697               0.034
         10560.25196        -2831.801519        -185.0559698               0.035
         10560.25196        -2831.801515        -185.0559699               0.036
         10560.25197        -2831.801512        -185.0559699               0.037
         10560.25197        -2831.801509          -185.05597               0.038
         10560.25197        -2831.801506        -185.0559701               0.039
         10560.25197        -2831.801503        -185.0559702                0.04
         10560.25197          -2831.8015        -185.0559703               0.041
         10560.25197        -2831.801497        -185.0559704               0.042
         10560.25197        -2831.801494        -185.0559704               0.043
         10560.25197        -2831.801491        -185.0559705               0.044
         10560.25197        -2831.801488        -185.0559706               0.045
         10560.25197        -2831.801485        -185.0559707               0.046
         10560.25197        -2831.801482        -185.0559708               0.047
         10560.25197        -2831.801479        -185.0559708               0.048
         10560.25197        -2831.801476        -185.0559709               0.049
         10560.25198        -2831.801473         -185.055971                0.05
         10560.25198         -2831.80147        -185.0559711               0.051
         10560.25198        -2831.801467        -185.0559712               0.052
         10560.25198        -2831.801464        -185.0559712               0.053
         10560.25198        -2831.801461        -185.0559713               0.054
         10560.25198        -2831.801457        -185.0559714               0.055
         10560.25198        -2831.801454        -185.0559715               0.056
         10560.25198        -2831.801451        -185.0559716               0.057
         10560.25198        -2831.801448        -185.0559717               0.058
         10560.25198        -2831.801445        -185.0559717               0.059
         10560.25198        -2831.801442        -185.0559718                0.06
         10560.25198        -2831.801439        -185.0559719               0.061
         10560.25198        -2831.801436         -185.055972               0.062
         10560.25199        -2831.801433        -185.0559721               0.063
         10560.25199         -2831.80143        -185.0559721               0.064
         10560.25199        -2831.801427        -185.0559722               0.065
         10560.25199        -2831.801424        -185.0559723               0.066
         10560.25199        -2831.801421        -185.0559724               0.067
         10560.25199        -2831.801418        -185.0559725               0.068
         10560.25199        -2831.801415        -185.0559726               0.069
         10560.25199        -2831.801412        -185.0559726                0.07
         10560.25199        -2831.801409        -185.0559727               0.071
         10560.25199        -2831.801406        -185.0559728               0.072
         10560.25199        -2831.801403        -185.0559729               0.073
         10560.25199          -2831.8014         -185.055973               0.074
           10560.252        -2831.801396         -185.055973               0.075
           10560.252        -2831.801393        -185.0559731               0.076
           10560.252         -2831.80139        -185.0559732               0.077
           10560.252        -2831.801387        -185.0559733               0.078
           10560.252        -2831.801384        -185.0559734               0.079
           10560.252        -2831.801381        -185.0559734                0.08
           10560.252        -2831.801378        -185.0559735               0.081
           10560.252        -2831.801375        -185.0559736               0.082
           10560.252        -2831.801372        -185.0559737               0.083
           10560.252        -2831.801369        -185.0559738               0.084
           10560.252        -2831.801366        -185.0559739               0.085
