Pluto
                 x:                  y:                  z:                  t: 
         4241.919007          -11534.366         7.229859418                   0
          4241.91901          -11534.366         7.229858512               0.001
         4241.919013          -11534.366         7.229857606               0.002
         4241.919016          -11534.366         7.229856701               0.003
         4241.919019          -11534.366         7.229855795               0.004
         4241.919022          -11534.366         7.229854889               0.005
         4241.919025          -11534.366         7.229853983               0.006
         4241.919028          -11534.366         7.229853078               0.007
         4241.919031          -11534.366         7.229852172               0.008
         4241.919034          -11534.366         7.229851266               0.009
         4241.919037          -11534.366          7.22985036                0.01
          4241.91904        -11534.36599         7.229849455               0.011
         4241.919043        -11534.36599         7.229848549               0.012
         4241.919046        -11534.36599         7.229847643               0.013
         4241.919049        -11534.36599         7.229846737               0.014
         4241.919052        -11534.36599         7.229845832               0.015
         4241.919055        -11534.36599         7.229844926               0.016
         4241.919058        -11534.36599          7.22984402               0.017
         4241.919061        -11534.36599         7.229843114               0.018
         4241.919064        -11534.36599         7.229842209               0.019
         4241.919067        -11534.36599         7.229841303                0.02
          4241.91907        -11534.36599         7.229840397               0.021
         4241.919073        -11534.36599         7.229839491               0.022
         4241.919076        -11534.36599         7.229838586               0.023
         4241.919079        -11534.36599          7.22983768               0.024
         4241.919082        -11534.36599         7.229836774               0.025
         4241.919085        -11534.36599         7.229835868               0.026
         4241.919088        -11534.36599         7.229834963               0.027
         4241.919091        -11534.36599         7.229834057               0.028
         4241.919094        -11534.36599         7.229833151               0.029
         4241.919097        -11534.36599         7.229832245                0.03
           4241.9191        -11534.36599          7.22983134               0.031
         4241.919103        -11534.36599         7.229830434               0.032
         4241.919106        -11534.36599         7.229829528               0.033
         4241.919109        -11534.36599         7.229828622               0.034
         4241.919112        -11534.36598         7.229827717               0.035
         4241.919115        -11534.36598         7.229826811               0.036
         4241.919118        -11534.36598         7.229825905               0.037
         4241.919121        -11534.36598         7.229824999               0.038
         4241.919124        -11534.36598         7.229824093               0.039
         4241.919127        -11534.36598         7.229823188                0.04
          4241.91913        -11534.36598         7.229822282               0.041
         4241.919133        -11534.36598         7.229821376               0.042
         4241.919136        -11534.36598          7.22982047               0.043
         4241.919139        -11534.36598         7.229819565               0.044
         4241.919142        -11534.36598         7.229818659               0.045
         4241.919145        -11534.36598         7.229817753               0.046
         4241.919148        -11534.36598         7.229816847               0.047
         4241.919151        -11534.36598         7.229815942               0.048
         4241.919154        -11534.36598         7.229815036               0.049
         4241.919157        -11534.36598          7.22981413                0.05
