                  T:                  E:               E^2:                   M:               M^2: 
                 2.1         -1.66195978         27625.37322         0.868595684         7546.697455
                2.15        -1.609598228         25913.40044          0.83582652         6989.929335
                 2.2        -1.546539532          23924.3672         0.785240816          6175.39893
                2.21        -1.532644072         23497.04149         0.771171318         5960.807133
                2.22        -1.516226624         22997.11318         0.754516278         5708.734547
                2.23         -1.50036662         22519.51884           0.7338351         5414.005449
                2.24        -1.482340464         21982.37626          0.70724884          5041.52115
                2.25         -1.46505862          21473.6014         0.686123798         4751.556593
                2.26         -1.43997052         20749.55006         0.590219526         3826.777251
               2.261        -1.436757464         20655.12124          0.60002295         3823.167067
               2.262        -1.439396156         20729.18126         0.631897844         4072.940271
               2.263        -1.428054428         20407.17572          0.55466284         3390.886843
               2.264        -1.424231564         20297.77154         0.540595234         3271.472386
               2.265         -1.43372436         20568.38628         0.599776736          3856.64748
               2.266        -1.429216224         20437.85303         0.596345312         3718.588469
               2.267         -1.42733196         20384.47443          0.59303785         3700.106636
               2.268        -1.420526564         20191.02143          0.57044422         3426.969127
               2.269        -1.425698556         20337.50253          0.60628067         3803.079838
                2.27        -1.424131632         20292.47766         0.601324402         3746.762207
               2.271        -1.418563576         20135.96635          0.56099511         3429.967319
               2.272         -1.41194458         19947.61888          0.54417803         3151.172897
               2.273        -1.409773464         19887.13154         0.531168266         3078.571134
               2.274        -1.409078684         19868.03217         0.530051436         3107.757408
               2.275         -1.40352186         19711.62162          0.50260141         2851.458711
               2.276        -1.394781684         19467.50353         0.448728546         2393.571106
               2.277          -1.4036421         19714.94284         0.529474602         3059.174787
               2.278        -1.393786904         19439.28683         0.466223934         2491.249459
               2.279        -1.394654176         19463.39746         0.479265328         2628.539691
                2.28        -1.400267148          19620.1444         0.534506084         3077.864824
                2.29        -1.375578096         18935.54442         0.431031232         2232.867864
                 2.3        -1.347897568         18178.29405         0.331091272         1399.900873
                2.31        -1.326194276         17597.49753          0.23188548         801.3519464
                2.32        -1.310079364         17171.67661          0.20932664         645.6349315
                2.37        -1.238785304         15352.92245         0.131114934         258.2729055
                2.42        -1.181939984         13976.03631         0.092731386         133.4664906
                2.47        -1.133001216         12842.52691          0.06991192         76.93516692
                2.52        -1.089192008          11868.6635         0.059925592         55.26580223
                2.57        -1.050086948         11031.70679         0.051370416         41.84579862
