              T:                  E:               E^2:                   M:               M^2:
               2        -1.745582796         43880.55018        0.9113105633         11959.78846
              2.1        -1.662113673         39785.98923        0.8687947054         10871.15825
              2.15        -1.609743168         37319.64182        0.8357074357         10061.00679
              2.2         -1.54693343         34466.04319        0.7858086718         8901.889562
              2.21        -1.532410669         33822.46753        0.7715722097         8585.806621
              2.22        -1.516620971         33129.78513        0.7539206269          8203.41367
              2.23        -1.500070278         32411.60507        0.7325428875         7757.147316
              2.24         -1.48208216         31639.98393        0.7054867799         7216.545128
              2.25        -1.462169123         30797.22882        0.6647042182         6514.618146
              2.26        -1.440792163         29904.62337        0.6157658849         5667.273683
              2.265        -1.429882181         29453.92357         0.590262729         5254.103077
              2.27        -1.417478832         28946.02395        0.5504838061         4685.303323
              2.275        -1.403210074         28367.13974         0.485593589         3862.526084
              2.28        -1.392527869         27936.76393        0.4577939118         3492.993112
              2.29        -1.366545844         26903.26876        0.3499036256         2250.071003
              2.3        -1.346430218         26116.50735        0.2851065764         1602.785576
              2.31        -1.326565276         25350.31919        0.2250624108         1045.959457
              2.32        -1.309515188          24702.1557        0.1874167056         741.1664888
              2.37        -1.239512465         22131.04192          0.10644318         251.0764549
              2.42        -1.182252277         20133.34203       0.07502554986         125.8228555
              2.5        -1.106097279         17623.07787       0.05223901514         61.76782246
              2.6        -1.028214009         15228.80276       0.03989268347         35.78995763
