                  T:                  E:               E^2:                   M:               M^2:
                   2        -1.745496133           4877.7186        0.9112313412         1329.326706
                 2.1        -1.662221533         4424.986706        0.8688507075         1209.795225
                2.15        -1.609684835         4151.015827        0.8358889687         1121.784257
                 2.2        -1.546451432         3833.332685        0.7837770925         994.6113228
                2.21        -1.531721162         3761.171204          0.76974334         961.4771929
                2.22        -1.516885898         3689.277349        0.7549122775         927.9262818
                2.23         -1.50135401          3614.58363        0.7380092887         891.3206814
                2.24        -1.483660725          3530.74908        0.7139998663         843.4898727
                2.25        -1.466145405         3448.605855        0.6899584537         795.9167226
                2.26          -1.4481238         3365.016153        0.6656066512         748.0956885
               2.261        -1.446733538         3358.599383        0.6640585775         745.0903337
               2.266        -1.437578732         3316.389098        0.6537836262         723.1198151
               2.271        -1.425175363         3260.073952        0.6260090038         677.6386361
               2.276        -1.417283377         3224.033348         0.619925045         663.2394545
                2.29        -1.387555697         3091.082902        0.5645107562          571.161861
                 2.3        -1.367222287         3001.295606        0.5275263813         510.2377875
                2.31        -1.348929915         2921.744204        0.4963773137         462.7460604
                2.32        -1.328634652         2834.540758          0.45563149         403.3965589
                2.37        -1.246897415         2495.580304        0.3118167975         213.5839316
                2.42        -1.184238513         2250.393015        0.2270220237         120.8508444
                 2.5        -1.106481497         1964.317389          0.16114308         63.47034245
                 2.6         -1.02811612         1695.969434        0.1190792562          35.0772977
