                  T:                  E:               E^2:                   M:               M^2: 
                   2        -1.745549518         19503.32731        0.9113103918         5315.884443
                 2.1        -1.662139691         17685.58024        0.8688089977         4832.876266
                2.15        -1.609608266         16586.64007        0.8357024625         4473.705475
                 2.2        -1.546630722         15316.04166        0.7852786211         3956.923595
                2.21        -1.531934383         15026.93257        0.7698719923         3808.406273
                2.22        -1.516732861         14730.82091        0.7545031308         3661.146747
                2.23        -1.500173249         14411.79653        0.7317086787         3464.103527
                2.24        -1.483503274         14093.93627         0.711626219           3277.0778
                2.25        -1.462650539         13702.16426        0.6706272441         2965.311897
                2.26        -1.441848447         13316.24725         0.629107778         2655.638708
               2.265        -1.431600296         13128.17514        0.6092483176         2502.535846
                2.27          -1.4194344         12906.59842        0.5743199573         2283.183749
               2.275        -1.408417027         12707.63639         0.544428494         2098.246049
                2.28        -1.395685628         12479.06043        0.5093217235         1868.686451
                2.29        -1.372866208         12074.48486        0.4431866118         1496.858821
                 2.3        -1.349005882         11657.82678         0.368160688         1095.664575
                2.31        -1.333437711         11390.24937        0.3455270643         983.0742721
                2.32        -1.313056731         11043.71648        0.2823726504         703.3899183
                2.37         -1.23959815         9841.374123        0.1559217899         239.6140658
                2.42        -1.182410053         8954.011652        0.1131990062         125.5407955
                 2.5        -1.106281925         7838.083488       0.07904894713         62.76145632
                 2.6         -1.02825894         6771.602093       0.05950648896         35.38965703
