                  T:                  E:               E^2:                   M:               M^2:
                2.1        -1.661818625         17678.75766         0.868576725         4830.314584
               2.15        -1.609563275         16585.71324        0.8357535625          4474.00412
                2.2         -1.54537055          15291.0885        0.7836040813         3939.450628
               2.21        -1.531304212         15014.67769        0.7702399469         3809.335797
               2.22        -1.516612875         14728.23486        0.7553547531         3666.179664
               2.23        -1.497867356         14367.77958        0.7266576812         3410.016064
               2.24         -1.48142645         14054.76966        0.7063910656         3230.122066
               2.25        -1.453709294         13536.80427        0.6173653781         2631.417094
               2.26        -1.443342069           13344.213        0.6277584375         2657.229687
              2.261        -1.442828613         13333.44614        0.6457120844         2734.615053
              2.262        -1.438951744         13262.63163        0.6297248844         2627.948696
              2.263        -1.434575037         13183.54942           0.6053516         2505.358075
              2.264        -1.434141475         13174.32844        0.6224028781         2572.925203
              2.265        -1.434083363         13173.14655        0.6223561844         2581.785964
              2.266        -1.429350806         13086.89104        0.6065787844         2485.573657
              2.267        -1.428988356         13079.12108        0.6149934156         2498.635347
              2.268        -1.432488606         13143.57324        0.6241227719         2608.904962
              2.269        -1.427253462           13048.005         0.616265575         2536.515965
               2.27        -1.426246319         13029.21062        0.6151735563         2498.783948
              2.271        -1.420301619         12921.45012        0.5910121719         2354.628205
              2.272        -1.417028944         12863.63182        0.5790616906         2300.680485
              2.273          -1.4110201         12754.21866        0.5512789094         2128.489998
              2.274        -1.409403306         12725.22254        0.5499861906         2105.757691
              2.275        -1.409265712         12722.41161        0.5591755063         2168.973905
              2.276        -1.402744894         12606.43191        0.5081551406         1929.357148
              2.277         -1.40133745         12580.46039        0.5288017969         1988.701916
              2.278        -1.407913638          12697.5642        0.5685248344         2206.843113
              2.279          -1.3982008         12523.31537        0.5188814312         1917.504963
               2.28        -1.393094825         12432.86692        0.5055043094         1831.357904
               2.29        -1.366029794         11954.62866        0.4012399594         1300.998831
                2.3        -1.352530238         11719.78581        0.3823740562         1196.793347
               2.31        -1.330012125         11331.65668        0.3135129812         859.8972359
               2.32         -1.31279435         11039.46355        0.2863867844         718.1239467
               2.33        -1.296323456         10763.33839        0.2392748594         528.2952142
               2.34        -1.280013288         10493.95046        0.2182668469         427.6080966
               2.35        -1.265693775         10260.20666        0.1991092187         358.4037393
               2.36          -1.2519513         10038.37486        0.1651528781         261.2406407
               2.37        -1.240175737         9850.651092        0.1592280406         241.8796511
               2.38        -1.228069206         9658.980707        0.1475711531         216.7418877
               2.39        -1.213594487         9432.568297        0.1326218063         172.7314353
                2.4        -1.203186631         9271.669048         0.131098875         166.9624792
               2.45        -1.152139469          8501.40221       0.09946841563         97.77737097
                2.5        -1.106065375         7835.030788         0.077887325         60.14116005
               2.55        -1.065107138         7265.486939       0.07036329063         48.65242066
                2.6        -1.028308138         6772.274399       0.06043867812         36.34354664
