                  T:                  E:               E^2:                   M:               M^2:
                2.1        -1.661792178         9945.844648        0.8681701278         2715.448681
               2.15        -1.609272744          9328.42539        0.8351631333         2514.760798
                2.2        -1.548255611         8636.237322        0.7875205778         2242.184908
               2.21          -1.5337977         8476.267308        0.7734419222         2165.726134
               2.22        -1.515382856         8274.540396        0.7540712056         2061.201382
               2.23        -1.504472889         8156.173866        0.7466586222         2021.177058
               2.24        -1.481455278         7909.845114        0.7088454611         1843.106584
               2.25        -1.464179511         7727.559465        0.6809930778         1719.662277
               2.26        -1.452709178         7606.783483        0.6746915444         1683.504643
              2.261        -1.444422478         7521.607342        0.6479026611         1582.292095
              2.262        -1.439741844         7472.667793        0.6441812278         1552.763475
              2.263        -1.442889311          7505.26408        0.6555237333         1601.445562
              2.264        -1.441410111         7489.539133          0.64993305         1585.808941
              2.265        -1.433419467         7408.528921        0.6145910667         1469.157893
              2.266        -1.425798256         7330.449174        0.6031250722         1403.690943
              2.267          -1.4328805          7402.56163        0.6333773667         1522.349754
              2.268        -1.430903089         7381.443389        0.6226297556         1479.966874
              2.269        -1.426107433         7332.694259        0.6123204611         1436.399566
               2.27        -1.422707089         7298.173817        0.6036204556         1403.328146
              2.271        -1.421457589         7284.882446        0.6087253611         1409.822373
              2.272        -1.408719189            7155.911          0.53937455         1192.275574
              2.273        -1.416440122          7233.92266        0.5959227111         1367.490907
              2.274        -1.420765711         7277.350268        0.6131508778         1425.288831
              2.275        -1.410610611         7174.953451        0.5668833444         1283.149931
              2.276        -1.407904322         7146.785508        0.5720627778         1274.252568
              2.277          -1.4112384         7180.266949        0.5937289056          1346.02902
              2.278        -1.405380333         7122.043074        0.5633845167         1259.687783
              2.279        -1.402236289         7089.568396           0.5597285          1234.58038
               2.28        -1.398151289         7047.963546        0.5505409833         1185.390551
               2.29          -1.3794034         6861.240513        0.5113048944         1056.013758
                2.3        -1.361189967         6681.420433        0.4683434111          923.516688
               2.31        -1.331149822          6388.47549        0.3729376944         628.6609563
               2.32        -1.317563078         6259.780111        0.3541850611         593.3314015
               2.33          -1.2982402         6076.468299        0.3150905111         478.8568361
               2.34          -1.2825452         5930.270283        0.2733206222         374.5180454
               2.35        -1.270685889         5820.935027        0.2676683278         357.7729877
               2.36        -1.251985411          5650.31238        0.2240428389          265.055665
               2.37        -1.240930744         5551.010023        0.2101912556         234.6559173
               2.38        -1.228796767         5442.828138        0.2129332444         231.4872066
               2.39        -1.216333056         5332.901175        0.1844843611         181.8846165
                2.4        -1.203922311         5224.543974        0.1744889778         166.4255496
               2.45        -1.151992522         4783.341044        0.1322880722         94.83278563
                2.5          -1.1053711         4404.048992        0.1032347778         59.43237816
               2.55        -1.064238778          4082.51103       0.09222738333         48.22472999
                2.6        -1.027352378         3804.407815       0.07899226111         35.39229001
