                  T:                  E:               E^2:                   M:               M^2: 
                   2          -1.7410045          4853.50761         0.899564875         1306.581398
                 2.1          -1.6666005         4448.067898           0.8728665         1220.501618
                2.15           -1.607647         4140.522844           0.8333965          1114.86646
                 2.2         -1.55356025         3868.003285          0.79556075         1020.104835
                2.21         -1.53757975         3789.185895         0.780791625         982.5672057
                2.22         -1.51614275         3685.948013          0.75480125          926.677864
                2.23           -1.482923          3528.70729            0.689487         808.1672815
                2.24         -1.49719725         3593.677903            0.749708         909.1846045
                2.25         -1.47221275         3476.188823          0.71380525          832.182558
                2.26           -1.461062         3423.746386          0.70933925         818.4507315
               2.261          -1.4612355         3423.816394         0.710512625         819.0644257
               2.266          -1.4443705         3347.334792         0.654452125         735.8978478
               2.271         -1.43720775         3313.836423           0.6749555          747.397672
               2.276          -1.4090055         3187.396764            0.592835         625.3392705
                2.29           -1.382527         3069.194692            0.545623         553.4271595
                 2.3         -1.36320975         2984.035267         0.523248375         499.8496293
                2.31         -1.36611425         2995.390515         0.575008875         562.9413867
                2.32          -1.3102465         2755.803686          0.38275375           308.98102
                2.37         -1.23814025         2459.848367           0.2686655         169.0296825
                2.42         -1.18232025         2243.186041         0.222167625         116.4701608
                 2.5          -1.1119525         1983.555608         0.158471125         58.95654225
                 2.6         -1.02530725         1686.958735            0.110645           30.553462
