                  T:                  E:               E^2:                   M:               M^2:
                   2         -1.74558969         10972.39453        0.9113372372         2990.693951
                 2.1        -1.662021376         9948.586025         0.868654125         2718.420183
                2.15        -1.609603381         9332.203091        0.8357657389         2518.341575
                 2.2        -1.546559607         8617.469211        0.7848600978         2229.386899
                2.21        -1.531874674         8455.063546        0.7703285433         2149.082708
                2.22        -1.516904204         8291.344226        0.7552016411         2069.222117
                2.23        -1.499071997         8098.611714        0.7293948989         1948.487002
                2.24         -1.48398553         7936.824292        0.7138908289         1868.480021
                2.25         -1.46338808         7719.155994        0.6775081156         1709.289405
                2.26        -1.443503341         7512.047731        0.6408553206         1558.163577
               2.265         -1.43265399         7399.823118        0.6175054656         1463.720209
                2.27        -1.423410779         7304.980935          0.60251874         1403.038214
               2.275        -1.413788623          7206.92884          0.58568307         1338.261614
                2.28        -1.400220784         7069.589789        0.5507795228         1209.892403
                2.29        -1.381738621         6884.464176        0.5178003233         1088.407631
                 2.3        -1.356110472          6631.59913        0.4444709661         854.1448098
                2.31        -1.335340952         6429.987253        0.3898566272         694.5147544
                2.32        -1.318011573         6263.619712        0.3548036944         590.6974752
                2.37         -1.24054455         5547.424989        0.2100032339         232.8420818
                2.42        -1.181977973         5035.667623          0.14686049         118.5950979
                 2.5        -1.106328343         4411.668807        0.1062639433         63.00138195
                 2.6         -1.02821523         3810.785549       0.07898898833         35.17246313
